[2026-05-07T14:55:27.202+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7812, completion-tokens, 350, total-tokens, 8162, cost-ms, 12917, requestId, 02177813691485440360720e551986eb8f548dd35d9b34e42c24c, temperature, 0
[2026-05-07T15:02:24.092+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 2113, completion-tokens, 366, total-tokens, 2479, cost-ms, 12581, requestId, 021778137331741d72149264581351fe280677b9f79ce084ae978, temperature, 0
[2026-05-07T16:08:55.105+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7813, completion-tokens, 855, total-tokens, 8668, cost-ms, 22258, requestId, 0217781413132064087c9e55f8b322b82cd17f72450d06ec212db, temperature, 0
[2026-05-07T16:09:09.389+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8064, completion-tokens, 116, total-tokens, 8180, cost-ms, 7640, requestId, 021778141342027e8eb33bba790666117f5ace3387e18426982a3, temperature, 0
[2026-05-07T16:09:18.385+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7814, completion-tokens, 309, total-tokens, 8123, cost-ms, 8799, requestId, 021778141349822e8eb33bba790666117f5ace3387e1842fe16df, temperature, 0
[2026-05-07T16:10:40.270+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7815, completion-tokens, 404, total-tokens, 8219, cost-ms, 11707, requestId, 0217781414289001201fb9e16e3f5837dd939723f949611403d48, temperature, 0
[2026-05-07T16:10:53.853+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8045, completion-tokens, 187, total-tokens, 8232, cost-ms, 7794, requestId, 0217781414463351201fb9e16e3f5837dd939723f9496111c4533, temperature, 0
[2026-05-07T16:11:04.075+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8296, completion-tokens, 68, total-tokens, 8364, cost-ms, 3586, requestId, 021778141460784399eaa44f2e314002ba9c0fca0e9df6e4e7131, temperature, 0
[2026-05-07T16:11:14.611+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7814, completion-tokens, 273, total-tokens, 8087, cost-ms, 9316, requestId, 021778141465532399eaa44f2e314002ba9c0fca0e9df6ea290d4, temperature, 0
[2026-05-07T16:12:15.422+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7830, completion-tokens, 628, total-tokens, 8458, cost-ms, 19713, requestId, 0217781415160466c6143abc371ddf801f23c2797c48bf424b0a7, temperature, 0
[2026-05-07T16:12:29.440+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8059, completion-tokens, 197, total-tokens, 8256, cost-ms, 8240, requestId, 0217781415414914087c9e55f8b322b82cd17f72450d06e950b52, temperature, 0
[2026-05-07T16:15:19.241+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7830, completion-tokens, 232, total-tokens, 8062, cost-ms, 7681, requestId, 02177814171190164d8a6219dbbdb6281842e0590025e9248516d, temperature, 0
[2026-05-07T16:15:31.127+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8049, completion-tokens, 187, total-tokens, 8236, cost-ms, 6082, requestId, 02177814172532670efbf1cf5c1ae3d0b3f284807454d29d5aee9, temperature, 0
[2026-05-07T16:15:44.717+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8291, completion-tokens, 181, total-tokens, 8472, cost-ms, 6952, requestId, 021778141738060bd223177cc7b14585a4ccdb5490e49389cbc7b, temperature, 0
[2026-05-07T16:15:57.642+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8514, completion-tokens, 204, total-tokens, 8718, cost-ms, 7183, requestId, 02177814175075942e276d595e9cfc376ad966d4ec2124630c000, temperature, 0
[2026-05-07T16:16:10.506+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8795, completion-tokens, 159, total-tokens, 8954, cost-ms, 6154, requestId, 021778141764639d54a2e8b6146550b9b78e5e06cf50b22328475, temperature, 0
[2026-05-07T16:18:10.549+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7830, completion-tokens, 200, total-tokens, 8030, cost-ms, 7527, requestId, 021778141883375d72149264581351fe280677b9f79ce0831de05, temperature, 0
[2026-05-07T16:18:24.500+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8047, completion-tokens, 201, total-tokens, 8248, cost-ms, 8158, requestId, 02177814189662516105250997c3183a3687369088432ad5fe0a4, temperature, 0
[2026-05-07T16:18:37.653+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8291, completion-tokens, 278, total-tokens, 8569, cost-ms, 6494, requestId, 02177814191144000bcc3116dfc56b9203b01425516f61b316922, temperature, 0
[2026-05-07T16:20:54.169+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7830, completion-tokens, 343, total-tokens, 8173, cost-ms, 12089, requestId, 021778142042432a7f4d4af3e382e8c5fe721af27b2ecdf28d524, temperature, 0
[2026-05-07T16:21:06.360+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8039, completion-tokens, 183, total-tokens, 8222, cost-ms, 6418, requestId, 02177814206022537079cdcc08b35ab782b1fd6e8da4cf0a58d24, temperature, 0
[2026-05-07T16:21:20.374+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8281, completion-tokens, 206, total-tokens, 8487, cost-ms, 7404, requestId, 0217781420732500076f3f588c303a7ab8265369cf81576e76be3, temperature, 0
[2026-05-07T16:21:33.775+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8503, completion-tokens, 259, total-tokens, 8762, cost-ms, 7673, requestId, 0217781420863849a3c11ce9bc6e339bff18e6a11feba8bc19eea, temperature, 0
[2026-05-07T16:21:46.244+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8786, completion-tokens, 113, total-tokens, 8899, cost-ms, 5788, requestId, 0217781421007412748f57c5f4210b3bc611acce6828c7a272d6a, temperature, 0
[2026-05-07T16:22:23.660+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7806, completion-tokens, 282, total-tokens, 8088, cost-ms, 7201, requestId, 021778142136753fdfd2e3c33d5b6eddad55ac385080e72f8f2c0, temperature, 0
[2026-05-07T16:22:41.429+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8070, completion-tokens, 317, total-tokens, 8387, cost-ms, 10453, requestId, 021778142151264660859622656fea2a03bf0be4d40d080e5bb57, temperature, 0
[2026-05-07T16:22:59.052+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8359, completion-tokens, 293, total-tokens, 8652, cost-ms, 10317, requestId, 021778142169014a7f4d4af3e382e8c5fe721af27b2ecdfafe214, temperature, 0
[2026-05-07T16:23:15.106+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8662, completion-tokens, 289, total-tokens, 8951, cost-ms, 8731, requestId, 021778142186663fdfd2e3c33d5b6eddad55ac385080e7296d53e, temperature, 0
[2026-05-07T16:23:59.245+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7830, completion-tokens, 219, total-tokens, 8049, cost-ms, 6644, requestId, 0217781422329459a3c11ce9bc6e339bff18e6a11feba8bdfda4b, temperature, 0
[2026-05-07T16:24:10.542+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8048, completion-tokens, 133, total-tokens, 8181, cost-ms, 5540, requestId, 021778142245286f742ef2c206840dc107957f7b221b0ff6e0491, temperature, 0
[2026-05-07T16:24:23.807+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8243, completion-tokens, 180, total-tokens, 8423, cost-ms, 6767, requestId, 0217781422573312748f57c5f4210b3bc611acce6828c7a169188, temperature, 0
[2026-05-07T16:24:35.114+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8464, completion-tokens, 138, total-tokens, 8602, cost-ms, 5519, requestId, 021778142269882b060a07fba38d5479db0751ac158bec5bcabd9, temperature, 0
[2026-05-07T16:24:53.636+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8692, completion-tokens, 412, total-tokens, 9104, cost-ms, 11931, requestId, 021778142281988f742ef2c206840dc107957f7b221b0ff249a97, temperature, 0
[2026-05-07T16:25:05.587+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8973, completion-tokens, 177, total-tokens, 9150, cost-ms, 6185, requestId, 021778142299691b060a07fba38d5479db0751ac158bec5cdcfc9, temperature, 0
[2026-05-07T16:25:45.787+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7806, completion-tokens, 291, total-tokens, 8097, cost-ms, 9908, requestId, 02177814233617637079cdcc08b35ab782b1fd6e8da4cf0f3e91a, temperature, 0
[2026-05-07T16:26:04.266+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8078, completion-tokens, 281, total-tokens, 8359, cost-ms, 11111, requestId, 021778142353451336c0ccc8833e375a271994f02c20b09cd5640, temperature, 0
[2026-05-07T16:26:34.029+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7815, completion-tokens, 718, total-tokens, 8533, cost-ms, 19430, requestId, 021778142374942a1b170fc911988aa69fdfa08a353ab276583d5, temperature, 0
[2026-05-07T16:26:45.969+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8038, completion-tokens, 179, total-tokens, 8217, cost-ms, 6175, requestId, 021778142400084d619db30bd0c9858e230a26bb16935251bf8f9, temperature, 0
[2026-05-07T16:26:58.660+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8279, completion-tokens, 134, total-tokens, 8413, cost-ms, 6061, requestId, 0217781424128900076f3f588c303a7ab8265369cf81576468703, temperature, 0
[2026-05-07T16:27:13.475+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7814, completion-tokens, 237, total-tokens, 8051, cost-ms, 9625, requestId, 02177814242413316105250997c3183a3687369088432adbeae8b, temperature, 0
[2026-05-07T16:27:25.335+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8039, completion-tokens, 204, total-tokens, 8243, cost-ms, 6136, requestId, 021778142439481f742ef2c206840dc107957f7b221b0ff9efe51, temperature, 0
[2026-05-07T16:27:39.232+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8297, completion-tokens, 154, total-tokens, 8451, cost-ms, 7198, requestId, 02177814245232085c9a7acb047d6dabbfa02bbf3a2b67b5342dc, temperature, 0
[2026-05-07T16:27:50.057+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7804, completion-tokens, 219, total-tokens, 8023, cost-ms, 7595, requestId, 02177814246270185c9a7acb047d6dabbfa02bbf3a2b67bf7c81f, temperature, 0
[2026-05-07T16:28:14.135+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8028, completion-tokens, 632, total-tokens, 8660, cost-ms, 18317, requestId, 021778142476105fdfd2e3c33d5b6eddad55ac385080e72778a8a, temperature, 0
[2026-05-07T16:28:30.944+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7806, completion-tokens, 368, total-tokens, 8174, cost-ms, 11610, requestId, 021778142499624d619db30bd0c9858e230a26bb16935256a559b, temperature, 0
[2026-05-07T16:28:48.767+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8074, completion-tokens, 260, total-tokens, 8334, cost-ms, 10494, requestId, 02177814251857479be1521b480472bd1aa7097703cfa20fa837d, temperature, 0
[2026-05-07T16:33:08.991+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7813, completion-tokens, 279, total-tokens, 8092, cost-ms, 10617, requestId, 021778142778724d05e5c3b12045884e5304df23f9a3a83653591, temperature, 0
[2026-05-07T16:33:22.076+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8031, completion-tokens, 219, total-tokens, 8250, cost-ms, 7311, requestId, 021778142795050660859622656fea2a03bf0be4d40d080bcb8d7, temperature, 0
[2026-05-07T16:33:35.074+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8279, completion-tokens, 84, total-tokens, 8363, cost-ms, 6390, requestId, 02177814280897016105250997c3183a3687369088432ad7411c8, temperature, 0
[2026-05-07T16:33:56.880+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7814, completion-tokens, 521, total-tokens, 8335, cost-ms, 16595, requestId, 021778142820568d72149264581351fe280677b9f79ce0810e558, temperature, 0
[2026-05-07T16:34:09.822+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8073, completion-tokens, 128, total-tokens, 8201, cost-ms, 6174, requestId, 0217781428439339a3c11ce9bc6e339bff18e6a11feba8bab7404, temperature, 0
[2026-05-07T16:34:23.209+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7804, completion-tokens, 277, total-tokens, 8081, cost-ms, 10141, requestId, 0217781428533089a3c11ce9bc6e339bff18e6a11feba8b6ec584, temperature, 0
[2026-05-07T16:34:41.932+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8052, completion-tokens, 433, total-tokens, 8485, cost-ms, 12962, requestId, 02177814286926179be1521b480472bd1aa7097703cfa202d26c0, temperature, 0
[2026-05-07T16:35:09.753+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8316, completion-tokens, 660, total-tokens, 8976, cost-ms, 22057, requestId, 021778142887983ffa368fe9ac51d90198cd5026e9cf3e3e7b0dc, temperature, 0
[2026-05-07T16:35:24.686+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7806, completion-tokens, 267, total-tokens, 8073, cost-ms, 9701, requestId, 02177814291527167b4ef5ba44a9620b39cdc0042b313b3a2fc68, temperature, 0
[2026-05-07T16:35:41.619+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8075, completion-tokens, 249, total-tokens, 8324, cost-ms, 8079, requestId, 02177814293382742e276d595e9cfc376ad966d4ec21246cbaaf7, temperature, 0
[2026-05-07T16:36:05.440+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8364, completion-tokens, 279, total-tokens, 8643, cost-ms, 10455, requestId, 0217781429552699a3c11ce9bc6e339bff18e6a11feba8b7a6ae0, temperature, 0
[2026-05-07T16:36:22.437+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8655, completion-tokens, 287, total-tokens, 8942, cost-ms, 9634, requestId, 0217781429730870076f3f588c303a7ab8265369cf8157655a605, temperature, 0
[2026-05-07T16:36:35.949+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8965, completion-tokens, 216, total-tokens, 9181, cost-ms, 6154, requestId, 0217781429900770076f3f588c303a7ab8265369cf8157679a300, temperature, 0
[2026-05-07T16:36:53.924+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 9323, completion-tokens, 333, total-tokens, 9656, cost-ms, 10648, requestId, 021778143003559b060a07fba38d5479db0751ac158bec5cffe93, temperature, 0
[2026-05-07T16:37:11.908+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 9666, completion-tokens, 304, total-tokens, 9970, cost-ms, 10601, requestId, 021778143021598ffa368fe9ac51d90198cd5026e9cf3e38b0716, temperature, 0
[2026-05-07T16:37:27.105+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 10030, completion-tokens, 288, total-tokens, 10318, cost-ms, 7837, requestId, 02177814303955485c9a7acb047d6dabbfa02bbf3a2b67b86dac3, temperature, 0
[2026-05-07T16:37:44.323+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 10408, completion-tokens, 276, total-tokens, 10684, cost-ms, 9843, requestId, 02177814305476970efbf1cf5c1ae3d0b3f284807454d2950a327, temperature, 0
[2026-05-07T16:37:58.430+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 10807, completion-tokens, 185, total-tokens, 10992, cost-ms, 6747, requestId, 021778143071971d05e5c3b12045884e5304df23f9a3a83c972f1, temperature, 0
[2026-05-07T16:38:13.029+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 11204, completion-tokens, 197, total-tokens, 11401, cost-ms, 7237, requestId, 021778143086085289ee8f5cd43d8cc040debd1abd108ae37d5aa, temperature, 0
[2026-05-07T16:38:32.990+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7813, completion-tokens, 342, total-tokens, 8155, cost-ms, 8664, requestId, 021778143104675b686cf77507a74aa4905f351832e6617c119d1, temperature, 0
[2026-05-07T16:44:01.879+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7813, completion-tokens, 656, total-tokens, 8469, cost-ms, 14738, requestId, 021778143427499a1b170fc911988aa69fdfa08a353ab276ef4c0, temperature, 0
[2026-05-07T16:45:09.778+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7813, completion-tokens, 614, total-tokens, 8427, cost-ms, 16311, requestId, 02177814349381516105250997c3183a3687369088432addf33d2, temperature, 0
[2026-05-07T16:47:00.622+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7813, completion-tokens, 264, total-tokens, 8077, cost-ms, 10052, requestId, 02177814361092885c9a7acb047d6dabbfa02bbf3a2b67b3f6eab, temperature, 0
[2026-05-07T16:47:12.785+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8049, completion-tokens, 206, total-tokens, 8255, cost-ms, 6398, requestId, 0217781436266808f8ea30227d9931fee346cda39788dd1c92850, temperature, 0
[2026-05-07T16:47:24.137+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8308, completion-tokens, 111, total-tokens, 8419, cost-ms, 4718, requestId, 021778143639711c54cfbc8e773a7e1d131d5b1cad603e0a0d800, temperature, 0
[2026-05-07T16:47:38.425+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7814, completion-tokens, 345, total-tokens, 8159, cost-ms, 9063, requestId, 021778143649645bd223177cc7b14585a4ccdb5490e4938bd3513, temperature, 0
[2026-05-07T16:47:54.029+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8044, completion-tokens, 223, total-tokens, 8267, cost-ms, 9866, requestId, 021778143664456d05e5c3b12045884e5304df23f9a3a837b8b1f, temperature, 0
[2026-05-07T16:48:08.406+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8307, completion-tokens, 139, total-tokens, 8446, cost-ms, 7679, requestId, 021778143681017adb2c2f0c14195f56dae5a2071f84ca1465504, temperature, 0
[2026-05-07T16:48:19.169+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7804, completion-tokens, 236, total-tokens, 8040, cost-ms, 7554, requestId, 021778143691856adb2c2f0c14195f56dae5a2071f84ca1f5dde1, temperature, 0
[2026-05-07T16:48:48.993+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8025, completion-tokens, 731, total-tokens, 8756, cost-ms, 24044, requestId, 02177814370524385c9a7acb047d6dabbfa02bbf3a2b67ba6ef83, temperature, 0
[2026-05-07T16:49:04.432+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 7806, completion-tokens, 315, total-tokens, 8121, cost-ms, 10229, requestId, 021778143734498c9a2a2bfec8b82a34b9075d10d5d2c5ed9acb4, temperature, 0
[2026-05-07T16:49:20.753+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8082, completion-tokens, 296, total-tokens, 8378, cost-ms, 8947, requestId, 021778143752094f504b82143f6241d8073830594408a04998757, temperature, 0
[2026-05-07T16:49:38.664+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8378, completion-tokens, 283, total-tokens, 8661, cost-ms, 10567, requestId, 0217781437683781201fb9e16e3f5837dd939723f94961148c629, temperature, 0
[2026-05-07T16:49:57.686+08:00] model, doubao-seed-2-0-lite-260215, mode, doubao-seed, ui-tars-version, undefined, prompt-tokens, 8687, completion-tokens, 301, total-tokens, 8988, cost-ms, 11707, requestId, 021778143786263b686cf77507a74aa4905f351832e6617fe63e2, temperature, 0
